gene,Gene_id,tss,gene_end,Strand,chr,start,end,start_factor,end_factor,promoter_factor,promoter
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825537,150825854,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150830730,150831036,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150833628,150833878,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150848924,150849344,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150782086,150784686,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150785553,150785914,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150786458,150786815,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150788640,150788982,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150789169,150790024,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150790301,150791017,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150795575,150795921,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150798924,150799193,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150801474,150801803,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150802285,150802958,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150803867,150804479,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150804715,150804975,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150806919,150807439,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150808661,150809075,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150811780,150812230,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150814805,150815044,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150818644,150818883,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825143,150825416,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825537,150825854,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150830730,150831036,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150833628,150833878,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150848924,150849344,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150782086,150784686,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150785553,150785914,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150786458,150786815,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150788640,150788982,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150789169,150790009,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150790301,150791017,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150795575,150795921,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150798924,150799193,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150801474,150801803,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150802285,150802958,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150803867,150804479,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150804715,150804975,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150806919,150807439,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150808661,150809075,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150811780,150812230,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150814805,150815044,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150818644,150818883,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825143,150825416,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825537,150825854,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150830730,150831036,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150833628,150833878,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150848924,150849344,5,-5,200,150809913
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32782270,32782666,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32848066,32848440,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32850533,32850799,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32856692,32857250,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32782270,32782666,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32848066,32848440,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32850533,32850799,-5,5,-200,34194369
ASIP,ENSG00000101440,34194569,34269344,1,chr20,32856692,32857250,-5,5,-200,34194369
ATM,ENSG00000149311,108222484,108369102,1,chr11,108093106,108098715,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108099800,108100191,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108106292,108107361,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108114575,108114945,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108115410,108115853,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108117586,108117954,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108119555,108119929,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108121323,108121899,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108122459,108122858,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108123439,108123739,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108124436,108124866,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108126837,108127167,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108128103,108128433,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108129608,108129902,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108137793,108138169,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108139032,108139436,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108141686,108142233,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108143154,108143679,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108150113,108150435,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108151617,108151995,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108153332,108153706,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108154849,108155300,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108157800,108158542,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108159599,108159930,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108160224,108161494,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108163241,108163620,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108163935,108164304,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108165549,108166823,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108167596,108168209,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108170102,108170712,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108172270,108172616,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108173475,108173856,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108175297,108175679,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108178519,108178897,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108180782,108181142,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108183033,108183325,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108186445,108186940,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108187995,108188348,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108190576,108190885,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108191923,108192247,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108195932,108196371,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108196680,108197052,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108198016,108198585,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108199643,108200134,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108200836,108201248,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108202066,108202384,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108202501,108202864,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108203384,108203727,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108204508,108204795,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108205591,108205936,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108206467,108207235,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108213844,108214198,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108216365,108216735,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108217143,108217419,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108217901,108218192,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108224378,108224707,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108225433,108225701,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108235704,108239929,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108093106,108098715,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108099800,108100191,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108106292,108107361,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108114575,108114945,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108115410,108115853,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108117586,108117954,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108119555,108119929,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108121323,108121899,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108122459,108122858,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108123439,108123739,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108124436,108124866,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108126837,108127167,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108128103,108128433,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108129608,108129902,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108137793,108138169,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108139032,108139436,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108141686,108142233,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108143154,108143679,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108150113,108150435,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108151617,108151995,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108153332,108153706,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108154849,108155300,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108157800,108158542,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108159599,108159930,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108160224,108161494,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108163241,108163620,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108163935,108164304,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108165549,108166823,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108167596,108168209,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108170102,108170712,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108172270,108172616,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108173475,108173856,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108175297,108175679,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108178519,108178897,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108180782,108181142,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108183033,108183325,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108186445,108186940,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108187995,108188348,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108190576,108190885,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108191923,108192247,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108195932,108196371,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108196680,108197052,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108198016,108198585,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108199643,108200134,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108200836,108201248,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108202066,108202384,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108202501,108202864,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108203384,108203727,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108204508,108204795,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108205591,108205936,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108206467,108207235,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108213844,108214198,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108216365,108216735,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108217143,108217419,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108217901,108218192,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108224378,108224707,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108225433,108225701,-5,5,-200,108222284
ATM,ENSG00000149311,108222484,108369102,1,chr11,108235704,108239929,-5,5,-200,108222284
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38480801,38481482,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38481598,38481839,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38482154,38482556,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38483036,38483371,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38484660,38485338,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38485434,38485781,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38489826,38490068,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38492944,38493285,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38493975,38494286,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38494323,38494589,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38503764,38504020,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38504167,38504448,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38505045,38505315,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38506387,38506777,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38480801,38481482,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38481598,38481839,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38482154,38482556,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38483036,38483371,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38484660,38485338,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38485434,38485781,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38489826,38490068,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38492944,38493285,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38493975,38494286,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38494323,38494589,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38503764,38504020,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38504167,38504448,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38505045,38505315,5,-5,200,38085100
BAIAP2L2,ENSG00000128298,38084900,38110684,-1,chr22,38506387,38506777,5,-5,200,38085100
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52434934,52438010,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52438374,52438702,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52439031,52440028,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52440174,52441023,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52441094,52441576,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52441879,52442193,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52442395,52442722,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52443475,52444466,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52434934,52438010,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52438374,52438702,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52439031,52440028,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52440174,52441023,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52441094,52441576,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52441879,52442193,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52442395,52442722,5,-5,200,52401208
BAP1,ENSG00000163930,52401008,52410008,-1,chr3,52443475,52444466,5,-5,200,52401208
BCL2,ENSG00000171791,63123346,63320128,-1,chr18,60790484,60796092,5,-5,200,63123546
BCL2,ENSG00000171791,63123346,63320128,-1,chr18,60985092,60987461,5,-5,200,63123546
BCL2,ENSG00000171791,63123346,63320128,-1,chr18,60790484,60796092,5,-5,200,63123546
BCL2,ENSG00000171791,63123346,63320128,-1,chr18,60985092,60987461,5,-5,200,63123546
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202047499,202048131,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202050389,202051203,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202052298,202052622,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202057602,202058226,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202060460,202060838,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202065061,202065551,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202068348,202068589,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202070500,202071073,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202072693,202073006,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202073688,202074385,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202082206,202086488,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202093551,202094229,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202047499,202048131,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202050389,202051203,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202052298,202052622,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202057602,202058226,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202060460,202060838,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202065061,202065551,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202068348,202068589,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202070500,202071073,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202072693,202073006,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202073688,202074385,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202082206,202086488,-5,5,-200,201182698
CASP10,ENSG00000003400,201182898,201229406,1,chr2,202093551,202094229,-5,5,-200,201182698
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202098061,202098445,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202098634,202098935,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202104888,202107748,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202122598,202123205,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202125118,202125436,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202126574,202127120,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202131079,202131614,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202134128,202134428,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202136134,202136444,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202137256,202137765,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202139507,202139776,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202140141,202140393,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202141445,202141927,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202146451,202146738,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202149434,202150140,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202151077,202152534,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202098061,202098445,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202098634,202098935,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202104888,202107748,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202122598,202123205,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202125118,202125436,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202126574,202127120,-5,5,-200,201233243
CASP8,ENSG00000064012,201233443,201287711,1,chr2,202131079,202131614,-5,5,-200,201233243
